season,team name,abv,conference,division
2016,Denver Nuggets,DEN,Western,Northwest
2016,Detroit Pistons,DET,Eastern,Central
2016,Golden State Warriors,GSW,Western,Pacific
2016,Houston Rockets,HOU,Western,Southwest
2016,Indiana Pacers,IND,Eastern,Central
2016,Los Angeles Clippers,LAC,Western,Pacific
2016,Los Angeles Lakers,LAL,Western,Pacific
2016,Memphis Grizzlies,MEM,Western,Southwest
2016,Miami Heat,MIA,Eastern,Southeast
2016,Milwaukee Bucks,MIL,Eastern,Central
2016,Minnesota Timberwolves,MIN,Western,Northwest
2016,New Orleans Pelicans,NOP,Western,Southwest
2016,New York Knicks,NYK,Eastern,Atlantic
2016,Oklahoma City Thunder,OKC,Western,Northwest
2016,Orlando Magic,ORL,Eastern,Southeast
2016,Philadelphia 76ers,PHI,Eastern,Atlantic
2016,Phoenix Suns,PHO,Western,Pacific
2016,Portland Trail Blazers,POR,Western,Northwest
2016,Sacramento Kings,SAC,Western,Pacific
2016,San Antonio Spurs,SAS,Western,Southwest
2016,Toronto Raptors,TOR,Eastern,Atlantic
2016,Utah Jazz,UTA,Western,Northwest
2016,Washington Wizards,WAS,Eastern,Southeast
2017,Atlanta Hawks,ATL,Eastern,Southeast
2017,Boston Celtics,BOS,Eastern,Atlantic
2017,Brooklyn Nets,BRK,Eastern,Atlantic
2017,Charlotte Hornets,CHO,Eastern,Southeast
2017,Chicago Bulls,CHI,Eastern,Central
2017,Cleveland Cavaliers,CLE,Eastern,Central
2017,Dallas Mavericks,DAL,Western,Southwest
2017,Denver Nuggets,DEN,Western,Northwest
2017,Detroit Pistons,DET,Eastern,Central
2017,Golden State Warriors,GSW,Western,Pacific
2017,Houston Rockets,HOU,Western,Southwest
2017,Indiana Pacers,IND,Eastern,Central
2017,Los Angeles Clippers,LAC,Western,Pacific
2017,Los Angeles Lakers,LAL,Western,Pacific
2017,Memphis Grizzlies,MEM,Western,Southwest
2017,Miami Heat,MIA,Eastern,Southeast
2017,Milwaukee Bucks,MIL,Eastern,Central
2017,Minnesota Timberwolves,MIN,Western,Northwest
2017,New Orleans Pelicans,NOP,Western,Southwest
2017,New York Knicks,NYK,Eastern,Atlantic
2017,Oklahoma City Thunder,OKC,Western,Northwest
2017,Orlando Magic,ORL,Eastern,Southeast
2017,Philadelphia 76ers,PHI,Eastern,Atlantic
2017,Phoenix Suns,PHO,Western,Pacific
2017,Portland Trail Blazers,POR,Western,Northwest
2017,Sacramento Kings,SAC,Western,Pacific
2017,San Antonio Spurs,SAS,Western,Southwest
2017,Toronto Raptors,TOR,Eastern,Atlantic
2017,Utah Jazz,UTA,Western,Northwest
2017,Washington Wizards,WAS,Eastern,Southeast
2018,Atlanta Hawks,ATL,Eastern,Southeast
2018,Boston Celtics,BOS,Eastern,Atlantic
2018,Brooklyn Nets,BRK,Eastern,Atlantic
2018,Charlotte Hornets,CHO,Eastern,Southeast
2018,Chicago Bulls,CHI,Eastern,Central
2018,Cleveland Cavaliers,CLE,Eastern,Central
2018,Dallas Mavericks,DAL,Western,Southwest
2018,Denver Nuggets,DEN,Western,Northwest
